Transaction_ID,Date,Time,Store_Name,Store_ID,Region,Category,Product_Name,Brand,SKU,Quantity,Unit_Price,Subtotal,Discount_Percent,Discount_Amount,Tax_Rate,Tax_Amount,Total_Amount,Cost_Per_Unit,Total_Cost,Profit,Profit_Margin,Payment_Method,Customer_Type,Customer_ID,Sales_Channel,Sales_Rep_ID,Promotion_Code,Shipping_Cost,Return_Status,Customer_Rating,Inventory_Status
TXN000001,2023-10-12,10:07:28,San Diego Gaslamp,ST009,Midwest,Jewelry,Earrings,Modern Brand E,JEW2744,1,3945.95,3945.95,0,0.0,0.08,315.68,4261.63,2805.55,2805.55,1456.08,34.17,Gift Card,Member,CUST3828,Online,REP139,WINTER25,6.16,No,1,Low Stock
TXN000002,2023-11-24,19:21:44,Phoenix Fashion Square,ST006,West,Footwear,Sandals,Contemporary Brand I,FOO2076,3,254.25,762.75,30,228.82,0.08,42.71,576.64,157.81,473.43,103.21,17.9,Gift Card,New,CUST6800,Phone Order,REP683,NEWCUST10,5.21,No,5,In Stock
TXN000003,2022-05-27,13:12:42,Philadelphia Center City,ST007,Northeast,Books & Media,Comic Book,Heritage Brand H,BOO7561,4,22.93,91.72,25,22.93,0.08,5.5,74.29,16.29,65.16,9.13,12.29,Credit Card,Regular,CUST3113,Online,REP939,NONE,14.77,Yes,2,In Stock
TXN000004,2022-08-21,20:44:38,Houston Galleria,ST005,West,Footwear,Sandals,Modern Brand E,FOO5248,5,252.77,1263.85,20,252.77,0.08,80.89,1091.97,160.47,802.35,289.62,26.52,Debit Card,New,CUST9899,In-Store,REP420,VIP30,17.93,No,2,In Stock
TXN000005,2022-10-21,10:02:58,San Antonio Riverwalk,ST008,Southwest,Books & Media,Novel,Exclusive Brand J,BOO9278,3,22.97,68.91,10,6.89,0.08,4.96,66.98,15.43,46.29,20.69,30.89,Cash,New,CUST8972,Phone Order,REP401,NEWCUST10,0,No,5,In Stock
TXN000006,2023-03-12,17:17:35,Seattle Pike Place,ST013,Northeast,Beauty & Personal Care,Makeup Kit,Heritage Brand H,BEA6513,1,148.26,148.26,0,0.0,0.08,11.86,160.12,92.48,92.48,67.64,42.24,Digital Wallet,VIP,CUST5208,Mobile App,REP384,NEWCUST10,0,No,2,In Stock
TXN000007,2023-09-06,14:35:35,Chicago Magnificent Mile,ST003,Southeast,Electronics,Tablet,Classic Brand D,ELE9204,1,1440.72,1440.72,5,72.04,0.08,109.49,1478.17,1145.73,1145.73,332.44,22.49,Debit Card,Member,CUST9570,Mobile App,REP192,FLASH15,1.57,No,4,Low Stock
TXN000008,2023-09-29,14:13:27,New York Flagship,ST001,Northeast,Toys & Games,Puzzle,Elite Brand F,TOY5114,2,82.46,164.92,0,0.0,0.08,13.19,178.11,61.08,122.16,55.95,31.41,Digital Wallet,Member,CUST5029,Online,REP696,WINTER25,5.08,No,5,Out of Stock
TXN000009,2022-01-21,14:05:14,San Jose Valley Fair,ST011,West,Accessories,Wallet,Exclusive Brand J,ACC3053,1,305.46,305.46,10,30.55,0.08,21.99,296.9,243.43,243.43,53.47,18.01,Debit Card,VIP,CUST1468,Phone Order,REP523,WINTER25,24.54,No,2,Out of Stock
TXN000010,2023-10-25,15:54:14,Atlanta Buckhead,ST018,Midwest,Books & Media,Magazine,Contemporary Brand I,BOO2801,1,33.5,33.5,25,8.38,0.08,2.01,27.13,24.85,24.85,2.28,8.4,Credit Card,New,CUST8944,Phone Order,REP528,NONE,9.69,Yes,1,In Stock
TXN000011,2023-11-27,16:59:23,Tampa Bay Street,ST020,Midwest,Footwear,Heels,Designer Brand C,FOO4123,2,101.73,203.46,5,10.17,0.08,15.46,208.75,78.61,157.22,51.53,24.69,Credit Card,Member,CUST5067,Online,REP953,NONE,0,No,3,Out of Stock
TXN000012,2022-08-02,14:47:25,Seattle Pike Place,ST013,West,Sports & Outdoors,Bicycle,Luxury Brand B,SPO7089,2,575.09,1150.18,25,287.55,0.08,69.01,931.64,457.1,914.2,17.44,1.87,Cash,Regular,CUST6661,In-Store,REP337,VIP30,0,Yes,2,Out of Stock
TXN000013,2022-01-27,19:00:11,Houston Galleria,ST005,West,Electronics,Camera,Designer Brand C,ELE3920,3,892.19,2676.57,5,133.83,0.08,203.42,2746.16,709.28,2127.84,618.32,22.52,Credit Card,Returning,CUST4870,Mobile App,REP205,NONE,19.82,No,3,In Stock
TXN000014,2023-10-27,16:09:08,New York Flagship,ST001,West,Toys & Games,Puzzle,Luxury Brand B,TOY3789,4,48.72,194.88,5,9.74,0.08,14.81,199.95,38.87,155.48,44.47,22.24,Digital Wallet,Returning,CUST9953,Online,REP283,NEWCUST10,12.91,Yes,2,Low Stock
TXN000015,2022-07-06,09:11:01,Philadelphia Center City,ST007,Northeast,Accessories,Wallet,Modern Brand E,ACC7863,2,139.45,278.9,10,27.89,0.08,20.08,271.09,102.96,205.92,65.17,24.04,Debit Card,VIP,CUST6995,Phone Order,REP531,WINTER25,5.98,No,5,In Stock
TXN000016,2023-11-12,09:15:59,San Antonio Riverwalk,ST008,Midwest,Accessories,Belt,Exclusive Brand J,ACC7599,5,143.12,715.6,30,214.68,0.08,40.07,540.99,95.79,478.95,62.04,11.47,Buy Now Pay Later,VIP,CUST3041,Phone Order,REP457,NONE,7.73,Yes,4,Low Stock
TXN000017,2022-03-17,15:40:55,Phoenix Fashion Square,ST006,Southwest,Sports & Outdoors,Camping Tent,Modern Brand E,SPO6034,2,618.68,1237.36,20,247.47,0.08,79.19,1069.08,446.31,892.62,176.46,16.51,Debit Card,New,CUST2446,In-Store,REP934,SUMMER20,1.99,No,2,Low Stock
TXN000018,2022-05-20,09:00:24,Phoenix Fashion Square,ST006,Southwest,Books & Media,Biography,Luxury Brand B,BOO4097,1,33.56,33.56,0,0.0,0.08,2.68,36.24,20.31,20.31,15.93,43.96,Credit Card,Member,CUST7193,Online,REP680,SUMMER20,12.79,No,5,In Stock
TXN000019,2023-02-24,10:41:54,Los Angeles Downtown,ST002,Midwest,Clothing,Pants,Signature Brand G,CLO2041,1,113.67,113.67,0,0.0,0.08,9.09,122.76,69.31,69.31,53.45,43.54,Credit Card,Member,CUST9696,Online,REP579,FLASH15,15.53,No,4,In Stock
TXN000020,2023-01-07,11:06:25,Las Vegas Strip,ST017,Southeast,Sports & Outdoors,Tennis Racket,Heritage Brand H,SPO4561,4,657.27,2629.08,15,394.36,0.08,178.78,2413.5,475.05,1900.2,513.3,21.27,Digital Wallet,Member,CUST8332,Online,REP853,FLASH15,0,Yes,3,In Stock
TXN000021,2022-07-08,17:42:40,Orlando Mall,ST019,West,Jewelry,Ring,Exclusive Brand J,JEW1767,1,2120.07,2120.07,0,0.0,0.08,169.61,2289.68,1677.54,1677.54,612.14,26.73,Digital Wallet,Returning,CUST8263,Phone Order,REP371,NONE,15.06,No,2,In Stock
TXN000022,2022-04-24,15:03:25,San Diego Gaslamp,ST009,Southeast,Electronics,Laptop,Classic Brand D,ELE9747,4,946.61,3786.44,10,378.64,0.08,272.62,3680.42,719.37,2877.48,802.94,21.82,Cash,Regular,CUST7867,Mobile App,REP675,NONE,3.19,No,4,In Stock
TXN000023,2022-05-06,13:55:53,Boston Newbury Street,ST015,Southwest,Sports & Outdoors,Yoga Mat,Luxury Brand B,SPO5196,2,733.23,1466.46,20,293.29,0.08,93.85,1267.02,476.24,952.48,314.54,24.83,Buy Now Pay Later,Returning,CUST6778,Phone Order,REP942,NONE,4.07,No,4,Out of Stock
TXN000024,2022-06-24,18:47:31,San Diego Gaslamp,ST009,Southeast,Electronics,Smartphone,Exclusive Brand J,ELE3094,3,752.73,2258.19,0,0.0,0.08,180.66,2438.85,548.07,1644.21,794.64,32.58,Buy Now Pay Later,Regular,CUST5478,Online,REP205,WINTER25,14.67,No,5,Low Stock
TXN000025,2023-11-22,15:42:31,Los Angeles Downtown,ST002,Southwest,Footwear,Running Shoes,Elite Brand F,FOO1548,1,193.65,193.65,25,48.41,0.08,11.62,156.86,129.51,129.51,27.35,17.44,Credit Card,Member,CUST3745,In-Store,REP712,NONE,18.22,Yes,3,Out of Stock
TXN000026,2023-09-28,12:42:48,San Antonio Riverwalk,ST008,Southwest,Home & Living,Wall Art,Signature Brand G,HOM7539,4,168.52,674.08,0,0.0,0.08,53.93,728.01,101.17,404.68,323.33,44.41,Cash,VIP,CUST4186,Online,REP471,NONE,0,No,2,Low Stock
TXN000027,2023-03-08,13:49:39,San Diego Gaslamp,ST009,West,Jewelry,Brooch,Signature Brand G,JEW9437,4,354.33,1417.32,0,0.0,0.08,113.39,1530.71,255.24,1020.96,509.75,33.3,Gift Card,Regular,CUST4940,In-Store,REP591,FLASH15,1.23,No,4,Out of Stock
TXN000028,2022-12-07,11:53:50,Denver Cherry Creek,ST014,Northeast,Books & Media,Novel,Modern Brand E,BOO2466,1,44.14,44.14,0,0.0,0.08,3.53,47.67,26.73,26.73,20.94,43.93,Gift Card,New,CUST9356,Online,REP790,NONE,0,No,4,Out of Stock
TXN000029,2023-10-23,18:56:37,Boston Newbury Street,ST015,Southeast,Jewelry,Ring,Elite Brand F,JEW2866,1,2811.87,2811.87,0,0.0,0.08,224.95,3036.82,2041.61,2041.61,995.21,32.77,Cash,Returning,CUST2629,Online,REP639,SUMMER20,15.44,Yes,4,Low Stock
TXN000030,2023-02-01,14:46:02,Dallas NorthPark,ST010,Midwest,Jewelry,Necklace,Designer Brand C,JEW9389,3,777.93,2333.79,5,116.69,0.08,177.37,2394.47,503.97,1511.91,882.56,36.86,Cash,New,CUST3007,In-Store,REP139,NONE,21.9,No,3,In Stock
TXN000031,2023-01-31,13:59:38,Orlando Mall,ST019,West,Footwear,Running Shoes,Classic Brand D,FOO5294,3,155.0,465.0,20,93.0,0.08,29.76,401.76,108.51,325.53,76.23,18.97,Digital Wallet,Returning,CUST7405,In-Store,REP548,NONE,8.82,No,4,Low Stock
TXN000032,2022-01-02,09:39:58,Dallas NorthPark,ST010,Midwest,Electronics,Smartphone,Elite Brand F,ELE6700,2,291.37,582.74,20,116.55,0.08,37.3,503.49,192.75,385.5,117.99,23.43,Gift Card,Returning,CUST7208,Online,REP695,NONE,0,No,3,In Stock
TXN000033,2022-12-18,16:00:06,Philadelphia Center City,ST007,Southwest,Electronics,Gaming Console,Exclusive Brand J,ELE2035,5,436.29,2181.45,10,218.15,0.08,157.06,2120.36,317.61,1588.05,532.31,25.1,Gift Card,VIP,CUST9844,Online,REP592,NONE,7.07,No,5,In Stock
TXN000034,2023-05-03,15:02:14,Denver Cherry Creek,ST014,West,Accessories,Sunglasses,Modern Brand E,ACC7811,2,107.93,215.86,0,0.0,0.08,17.27,233.13,75.46,150.92,82.21,35.26,Buy Now Pay Later,New,CUST8189,In-Store,REP824,NEWCUST10,1.23,No,4,In Stock
TXN000035,2022-12-11,15:26:02,Austin Domain,ST012,Southeast,Footwear,Heels,Signature Brand G,FOO5377,1,237.06,237.06,10,23.71,0.08,17.07,230.42,170.61,170.61,59.81,25.96,Buy Now Pay Later,Regular,CUST8541,Mobile App,REP147,NEWCUST10,23.81,No,2,In Stock
TXN000036,2023-05-30,19:35:58,Chicago Magnificent Mile,ST003,Northeast,Sports & Outdoors,Hiking Boots,Luxury Brand B,SPO5323,5,565.29,2826.45,20,565.29,0.08,180.89,2442.05,371.2,1856.0,586.05,24.0,Buy Now Pay Later,Returning,CUST2657,Mobile App,REP237,WINTER25,11.87,No,4,Out of Stock
TXN000037,2023-07-26,11:24:25,San Jose Valley Fair,ST011,West,Sports & Outdoors,Bicycle,Signature Brand G,SPO1709,4,616.3,2465.2,0,0.0,0.08,197.22,2662.42,418.89,1675.56,986.86,37.07,Buy Now Pay Later,Regular,CUST7985,Online,REP362,VIP30,19.25,No,3,Low Stock
TXN000038,2022-12-20,15:13:28,Las Vegas Strip,ST017,West,Sports & Outdoors,Camping Tent,Designer Brand C,SPO8705,3,747.96,2243.88,0,0.0,0.08,179.51,2423.39,512.36,1537.08,886.31,36.57,Buy Now Pay Later,Member,CUST6795,Phone Order,REP537,VIP30,5.68,No,4,Out of Stock
